variable;impactmodel;forcing
dis;h08;20crv3-era5
dis;h08;20crv3-w5e5
dis;h08;gswp3-w5e5
dis;hydropy;gswp3-w5e5
dis;jules-w2;gswp3-w5e5
dis;lpjml5-7-10-fire;20crv3-era5
dis;lpjml5-7-10-fire;20crv3-w5e5
dis;lpjml5-7-10-fire;gswp3-w5e5
dis;miroc-integ-land;20crv3-era5
dis;miroc-integ-land;20crv3-w5e5
dis;miroc-integ-land;gswp3-w5e5
dis;watergap2-2e;20crv3-era5
dis;watergap2-2e;20crv3-w5e5
dis;watergap2-2e;gswp3-w5e5
rootmoist;hydropy;gswp3-w5e5
rootmoist;lpjml5-7-10-fire;20crv3-era5
rootmoist;lpjml5-7-10-fire;20crv3-w5e5
rootmoist;lpjml5-7-10-fire;gswp3-w5e5
rootmoist;miroc-integ-land;20crv3-era5
rootmoist;miroc-integ-land;20crv3-w5e5
rootmoist;miroc-integ-land;gswp3-w5e5
rootmoist;web-dhm-sg;gswp3-w5e5
